chord,x,y,z,color
Cm7/F,-37.28191,12.672319,-12.1851425,-15.237919
Cm7add4,29.279873,5.9798737,2.0496986,13.889236
Cm7b5,6.827337,31.612982,-6.199605,-6.014175
Cm9,-11.7822275,-18.096628,21.44673,-6.7546325
Cma7,-25.254713,12.829456,-5.941891,-13.69623
Cmadd11,-25.929628,9.200718,-23.424202,-16.713816
Cmadd9,-25.523058,0.9485039,12.625605,-11.794008
Cmaj,-20.007244,9.08836,-11.543786,-12.777137
Cmaj13,22.845486,1.7886279,8.666544,13.278662
Cmaj7,24.680674,10.563599,-18.802229,9.360157
Cmaj7#11,-25.608599,-10.8457985,18.467112,-11.768691
Cmaj7/A,40.84817,-2.863238,-11.291662,12.526461
Cmaj7/B,-13.962478,-10.512716,10.846534,-9.502278
Cmaj7/E,15.480102,-6.6749187,15.863711,6.344036
Cmaj7/G,34.494473,-23.87853,-0.94999564,11.839757
Cmaj7/G#,20.590199,-11.916515,-6.6192646,9.444152
Cmaj9,14.140107,-7.558196,-25.818398,8.824249
Cmaj9/B,18.142162,4.8858957,4.717335,7.107374
Cmaj9/E,-41.686855,-9.596618,-11.762206,-16.044733
Cmmaj7,-22.992117,6.1718063,-4.5264316,-12.832155
Csus,30.040009,-7.1663175,-3.2203026,11.944533
Csus2,19.272516,-16.684072,-19.974222,10.01531
Csus2/A,-31.909182,-14.503104,13.719526,-11.0590315
Csus2/B,20.372662,-16.007584,-8.252217,9.686129
Csus2/Bb,-15.448128,-1.050919,-25.938734,-10.865094
Csus2/F#,-39.386528,12.412702,-3.7444162,-14.804695
Csus4,14.313849,-9.607517,11.528659,6.5646267
D,0.55802816,-9.435522,-9.832157,4.837211
D#,-2.4001417,11.911222,9.812468,-0.0129527785
D#(b5),-20.640083,11.54982,1.3236997,-12.422962
D#/G,-18.330118,-5.4302964,28.08536,-17.015781
D#5,2.5070238,9.803561,2.9787116,0.55580723
D#5/A#,-14.567446,2.1523118,-10.44584,-12.362916
D#7,-0.89458495,15.208672,-4.1802006,0.42139485
D#7/A#,-36.658573,-4.0484805,5.550183,-13.9121065
D#7/G#,-14.407292,-2.9096045,-10.156609,-12.359816
D#9,2.1955273,13.629179,-11.621934,1.1634179
D#M7,6.0716834,16.658363,-7.0141606,1.465734
D#aug,-22.271767,14.228676,1.9135131,-12.572681
D#dim,-3.1125314,-4.63117,-4.9352555,2.8060207
D#dim7,18.30937,12.616417,-13.135827,10.54926
D#m,-7.0336304,10.925985,2.1062946,-0.065221995
D#m/A#,-2.8192651,13.366893,3.3888123,0.257294
D#m/D,2.7804043,0.067638695,20.242805,5.992432
D#m7,-2.2954736,24.197111,11.613104,-1.3144414
D#m7-5,0.92941284,25.784649,10.243427,-1.4345337
D#m7/G#,-44.267662,13.981057,2.2490373,-12.633027
D#m7b5,-4.092637,7.2356563,-5.784769,0.70160156
D#maj7,-19.09311,-15.967298,18.274113,-10.691453
D#sus,-1.7562675,9.279752,0.1572605,0.6255113
D(4),-21.115492,-20.373253,4.571044,-11.439546
D(5),-11.859678,4.2395744,4.218812,-11.021479
D(7),-21.546625,2.7559261,17.948921,-11.793123
D(sus4),-35.893593,14.516603,19.03906,-16.744543
D+,-16.241337,-8.079669,-9.626142,-10.091945
D+5,9.668804,-15.917693,13.813052,4.864453
D/A,4.7286677,-3.3861623,-6.7993007,5.5354514
D/B,2.1214712,-24.338415,-11.5681505,7.5688667
D/Bb,-17.214655,5.977486,-7.5488596,-12.312115
D/C,3.3118937,-26.084435,-11.934123,7.557268
D/C#,-0.59033483,-18.296652,-6.0173364,4.9482284
D/D,-25.872599,-9.930652,11.7847595,-16.787292
D/E,-6.7535143,6.1626525,-2.9922993,0.4270553
D/F,-32.023758,-3.8070948,15.60042,-13.029695
D/F#,-1.7908033,-1.2231145,-14.077644,3.9963458
D/G,5.3375487,-0.7825823,-0.7669587,6.722746
D13,-14.736934,17.125689,2.6668313,-10.26096
D2,-1.1149641,-15.38578,0.56341463,3.5769372
D2/F#,-15.897644,-5.8586335,9.133426,-10.54769
D3,-4.7433023,-9.940141,1.3109497,3.23048
D4,14.134782,-22.70919,15.065342,9.862625
D5,5.6783185,-23.902483,19.263302,4.3434544
D5/A,5.950205,-1.8833827,15.1149645,6.1836643
D5/B,17.725182,-27.790184,5.3471265,10.37779
D5/C,-24.46768,1.9283494,-5.2400174,-9.015122
D5/G,-49.319588,3.343741,8.694326,-18.628162
D6,17.68163,21.200628,-9.242735,9.300511
D6/9,13.484368,-3.0719879,-17.683664,8.06812
D6/F#,12.418163,7.1380363,12.146074,6.331684
D6add11,21.894835,6.6640673,-19.340618,9.419095
D6add4,-25.274965,-13.583174,-13.066091,-11.600064
D6add9,-23.012562,-1.0445356,13.042231,-11.340502
D6add9/F#,-27.487669,4.6497355,-8.675537,-13.387245
D6sus2,-28.824451,1.5124683,27.751093,-13.397716
D7,27.069408,-2.694947,-18.76597,9.047
D7#5,-0.8586867,28.215517,5.81169,-1.4325178
D7#9,13.072632,-8.266182,-7.5911365,7.8650823
D7(b9),14.633612,-6.4206624,12.776081,6.310571
D7/A,0.79581916,-1.3939422,-4.0077915,3.007193
D7/C,-22.253748,12.534589,7.7390275,-11.955189
D7/F#,25.895042,1.760685,-4.415669,11.02423
D7/G,22.533497,-12.485489,-9.13838,9.952741
D7M,10.517539,5.0347,-2.1747315,6.2252636
D7b9,17.531603,-7.2397714,-20.548931,8.426484
D7sus,45.416916,-2.5295398,1.4222785,13.819893
D7sus2,34.15714,-7.96988,5.6141963,12.815307
D7sus4,29.72078,1.0829161,-16.257843,11.493926
D7sus4/A,5.9840426,-8.039757,-3.3780258,6.0413203
D7sus4/G,-39.920338,0.16024834,-4.062467,-14.921878
D9,19.254402,-29.370846,-7.3767385,9.698006
D9/F#,29.359554,-16.514904,2.6961617,11.493596
D9sus,17.69083,-5.891841,6.9699044,6.9950905
D9sus4,26.88464,-11.52905,12.155025,12.1487665
DM7,14.849307,15.049075,-3.0420516,1.4216609
DM9,-24.829346,8.29826,2.2752347,-10.557989
DM9/F#,-13.715357,8.542486,2.0417824,-11.25927
Dadd#11,-14.222963,-6.160066,11.910637,-10.174785
Dadd11,21.595875,-8.453179,-2.6140797,9.500799
Dadd2,-14.350747,22.825472,11.158204,-12.475087
Dadd2/E,-13.547856,-17.349699,-12.255206,-11.027258
Dadd4,24.692883,-9.540395,-3.3683927,9.950694
Dadd4/A,-36.14938,7.8648057,-7.514483,-14.846885
Dadd4/F#,-30.276272,22.067259,-1.8191066,-12.450145
Dadd4/G,5.4482203,-15.514914,11.460863,4.6879883
Dadd4add9,7.2097716,5.3678923,8.005556,6.236795
