chord,x,y,color
D/D,-45.87942,-2.9180048,-16.787292
D/E,-2.7076643,0.2394479,0.4270553
D/F,-33.653324,-4.946429,-13.029695
D/F#,7.0535603,-16.015636,3.9963458
D/G,11.852601,-6.0566974,6.722746
D13,-28.107748,9.035087,-10.26096
D2,6.6702013,-10.624332,3.5769372
D2/F#,-27.654432,4.8356295,-10.54769
D3,5.9389853,-9.390799,3.23048
D4,18.921177,14.133359,9.862625
D5,12.893326,12.952655,4.3434544
D5/A,11.456585,0.99999475,6.1836643
D5/B,24.054825,-2.0023127,10.37779
D5/C,-32.491993,-3.146469,-9.015122
D5/G,-27.479403,-14.048477,-18.628162
D6,5.512454,4.022184,9.300511
D6/9,20.614504,-1.6218804,8.06812
D6/F#,13.415415,2.4806044,6.331684
D6add11,20.047136,6.390249,9.419095
D6add4,-24.126242,4.653094,-11.600064
D6add9,-28.223513,6.2004666,-11.340502
D6add9/F#,-31.154629,-2.3762026,-13.387245
D6sus2,-32.197365,6.5145335,-13.397716
D7,22.9033,5.060753,9.047
D7#5,-6.3574667,-7.494657,-1.4325178
D7#9,18.228157,-4.161056,7.8650823
D7(b9),14.151104,4.1893907,6.310571
D7/A,7.071738,-6.719418,3.007193
D7/C,-31.107714,-6.6414437,-11.955189
D7/F#,25.913898,2.4194734,11.02423
D7/G,23.239521,-2.5202246,9.952741
D7M,12.974719,-2.077477,6.2252636
D7b9,19.660528,-3.8863962,8.426484
D7sus,33.61853,2.4267795,13.819893
D7sus2,31.199396,-0.17011482,12.815307
D7sus4,25.238338,5.8380537,11.493926
D7sus4/A,11.985582,-8.248857,6.0413203
D7sus4/G,-38.26551,-0.46324682,-14.921878
D9,24.37805,-3.4844785,9.698006
D9/F#,29.250038,-5.2974563,11.493596
D9sus,15.838351,-2.302377,6.9950905
D9sus4,29.865345,-2.9320383,12.1487665
DM7,4.9099956,-1.5200793,1.4216609
DM9,-36.72082,-4.1720476,-10.557989
DM9/F#,-27.428837,2.43659,-11.25927
Dadd#11,-27.230116,4.7777047,-10.174785
Dadd11,22.764105,-4.808721,9.500799
Dadd2,-25.758509,-9.425118,-12.475087
Dadd2/E,-25.769373,-0.53753376,-11.027258
Dadd4,23.193161,-4.7246246,9.950694
Dadd4/A,-37.258183,-6.7122207,-14.846885
Dadd4/F#,-25.690983,11.7790365,-12.450145
Dadd4/G,13.741385,8.975349,4.6879883
Dadd4add9,13.460236,1.3227459,6.236795
Dadd4add9/A,-19.918114,2.852004,-9.921916
Dadd9,8.3053255,-5.4680643,3.164638
Dadd9/F,28.566595,1.3130116,12.118066
Dadd9/F#,12.64281,0.410484,6.1085944
